(-776834891.1245749, -35893438.25310338)
(-754779935.8179561, -35772979.44356932)
(-738540531.5941974, -35443122.87140108)
(-725040283.1711363, -34530178.50104698)
(-714203479.4481976, -33922793.282136805)
(-690926138.9626652, -25894607.949839458)
(-675097798.9702983, -25894607.949839458)
(-661649797.316121, -25894607.949839458)
(-651647070.3681817, -25894607.949839458)
(-630701443.9550167, -24641490.620242417)
(-608388568.140339, -24641490.620242417)
(-586231416.4287694, -24641490.620242417)
(-546269109.7146841, -18732785.316838447)
(-516437368.79124004, -18732785.316838447)
(-482681762.01794523, -18732785.316838447)
(-428241667.17869455, -15227236.361658992)
(-398720805.1382931, -14296268.770054245)
(-341527593.1560826, -13180287.066044599)
(-294553660.0720657, -8833350.885529678)
(-278132116.8042098, -8833350.885529678)
(-264039541.97013882, -8833350.885529678)

