(-1.215797108431755e+32, -946682.6141412252)
(-3.0158182337283638e+22, -946682.6141412252)
(-2177111998883949.0, -946682.6141412252)
(-1062070825.7155468, -908856.3483755443)
(-64972341.57691239, -908856.3483755443)
(-19981864.4899941, -906170.5220882606)
(-19448633.519016773, -906170.5220882606)
(-19072799.80913569, -906170.5220882606)
(-18851842.527603734, -876307.7025607657)
(-18769001.7270968, -876307.7025607657)
(-18585701.591574978, -858483.838921291)
(-18418508.84479436, -858483.838921291)
(-18374672.30725859, -858483.838921291)
(-18147861.11545026, -858160.6255130725)
(-18098427.19915516, -858160.6255130725)
(-17928544.77546453, -858160.6255130725)
(-17823997.04957262, -850612.0630112874)
(-17674201.68738522, -850612.0630112874)
(-17476966.4974923, -826809.3543313979)
(-17310272.137479495, -826809.3543313979)
(-17191746.518035185, -826809.3543313979)
(-17159187.088610616, -826809.3543313979)
(-17082853.238301635, -826430.5200771054)
(-17038817.851672374, -826430.5200771054)
(-16933805.69595865, -826430.5200771054)
(-16876710.18660252, -826430.5200771054)
(-16792372.800062206, -826430.5200771054)
(-16707760.972127642, -826430.5200771054)
(-16644031.77628486, -826430.5200771054)
(-16643107.412352122, -826430.5200771054)
(-16630081.195935352, -825878.710886236)
(-16619232.113536451, -825878.710886236)
(-16593820.367951404, -825878.710886236)
(-16549686.083152069, -825878.710886236)
(-16534221.318710402, -825878.710886236)
(-16531737.018197492, -825878.710886236)
(-16531456.189122383, -825878.710886236)
(-16530745.685250904, -825878.710886236)
(-16529912.205828333, -825878.710886236)
(-16529173.473156594, -825878.710886236)
(-16527473.19297465, -825878.710886236)
(-16526868.69864325, -825878.710886236)
(-16526256.118770035, -825878.710886236)
(-16525574.722443778, -825878.710886236)
(-16524777.369775644, -825878.710886236)
(-16523492.62877819, -825878.710886236)
(-16523126.331481759, -825878.710886236)
(-16522690.285093699, -825878.710886236)
(-16522481.24734284, -825878.710886236)
(-16522216.836879749, -825878.710886236)
(-16520746.663731284, -825643.4541262394)
(-16519345.292961262, -825643.4541262394)
(-16518640.18133117, -825643.4541262394)
(-16518640.18133117, -825643.4541262394)
(-16518184.205681, -825643.4541262394)
(-16517836.93305003, -825643.4541262394)
(-16517042.518242534, -825643.4541262394)
(-16515774.114235947, -825100.1008134745)
(-16514024.477320552, -825100.1008134745)
(-16513291.611862762, -825100.1008134745)
(-1.516041472410024e+31, -854545.0075814361)
(-1.089131000482878e+18, -854545.0075814361)
(-7964620952845.416, -854545.0075814361)
(-8890000324.186789, -854545.0075814361)
(-3099518752.1026664, -854545.0075814361)
(-163391772.59602702, -854545.0075814361)
(-20017229.827581037, -854545.0075814361)
(-19406845.363737296, -854545.0075814361)
(-19196912.79794314, -854545.0075814361)
(-18835846.73217209, -854545.0075814361)
(-18215488.745140687, -854545.0075814361)
(-18040355.222232282, -854545.0075814361)
(-17838177.149965547, -854545.0075814361)
(-17719063.068504326, -854545.0075814361)
(-17672569.039473455, -854545.0075814361)
(-17620828.354091506, -854545.0075814361)
(-17566201.616348624, -854545.0075814361)
(-17520624.27756295, -854545.0075814361)
(-17482568.75768256, -854545.0075814361)
(-17447961.960124668, -854545.0075814361)
(-17441528.84344794, -854545.0075814361)
(-17431951.937582523, -854545.0075814361)
(-17417068.59600109, -854545.0075814361)
(-17378720.147190932, -854545.0075814361)
(-17289913.91193686, -853736.6523924116)
(-17231828.915620744, -853736.6523924116)
(-17183580.265089598, -840626.7365133557)
(-17133604.024460413, -840626.7365133557)
(-17086603.62318952, -837298.7829097398)
(-17053197.943521317, -837298.7829097398)
(-17000309.300287195, -836521.1320973346)
(-16984692.698596437, -836521.1320973346)
(-16909885.094034813, -835758.2002358388)
(-16848493.854371835, -835758.2002358388)
(-16803937.12081714, -835424.1858943912)
(-16776794.758521523, -835424.1858943912)
(-16743653.214975681, -835424.1858943912)
(-16736453.246681785, -835424.1858943912)
(-16728127.864626959, -835424.1858943912)
(-16726017.81349351, -835424.1858943912)
(-16721799.547190797, -835424.1858943912)
(-16718810.891747141, -835424.1858943912)
(-16714669.928777102, -835305.2148518942)
(-16712133.606320849, -835305.2148518942)
(-16711325.891480502, -835305.2148518942)
(-16710724.009708025, -835305.2148518942)
(-16710044.819498405, -835305.2148518942)
(-16709117.558798313, -835305.2148518942)
(-16708928.501429178, -835305.2148518942)
(-16708724.438822202, -835305.2148518942)
(-16708475.745626986, -835305.2148518942)
(-16708393.952559233, -835305.2148518942)
(-16708212.353779858, -835269.3881178957)
(-16708209.949068826, -835269.3881178957)
(-16708209.949068826, -835269.3881178957)
(-16708209.949068826, -835269.3881178957)
(-16708209.949068826, -835269.3881178957)
(-16707942.651348086, -835269.3881178957)
(-16707622.96009783, -835269.3881178957)
(-16707622.96009783, -835269.3881178957)
(-16707585.351118112, -835269.3881178957)
(-16707585.351118112, -835269.3881178957)
(-16707585.351118112, -835269.3881178957)
(-16707501.612067007, -835269.3881178957)
(-16707346.81429051, -835269.3881178957)
(-16706942.553868985, -835269.3881178957)
(-16706739.829475043, -835269.3881178957)
(-16706430.233922053, -835269.3881178957)
(-16706049.161604585, -835269.3881178957)
(-16706049.161604585, -835269.3881178957)
(-16705561.13305129, -835140.1687266724)
(-16705135.045535095, -835118.847228491)
(-16704983.116798664, -835118.847228491)
(-16704983.116798664, -835118.847228491)
(-16704983.116798664, -835118.847228491)
(-16704793.759142552, -835118.847228491)
(-16704793.759142552, -835118.847228491)
(-16704689.01982742, -835118.847228491)
(-16704628.881562533, -835118.847228491)
(-16704439.52390642, -835118.847228491)
(-16704331.931939073, -835118.847228491)
(-16704202.712547848, -835118.847228491)
(-16704073.493156625, -835118.847228491)
(-16703891.02517311, -835118.847228491)
(-16703302.85164583, -835084.6271609701)
(-16703073.978412576, -834987.2662923543)
(-16703073.978412576, -834987.2662923543)
(-16702770.47155037, -834987.2662923543)
(-16702458.139246982, -834987.2662923543)
(-16702263.463425288, -834987.2662923543)
(-16702214.896714993, -834987.2662923543)
(-16702214.896714993, -834987.2662923543)
(-16702195.590371987, -834987.2662923543)
(-16702154.9625308, -834987.2662923543)
(-16702154.9625308, -834987.2662923543)
(-16702154.9625308, -834987.2662923543)
(-16702072.40393836, -834987.2662923543)
(-16702072.40393836, -834987.2662923543)
(-16702072.40393836, -834987.2662923543)
(-16702051.082440179, -834987.2662923543)
(-16701968.52384774, -834987.2662923543)

