(-1109469950.7393785, -8946463.16228005)
(-125887001.22994074, -5061864.759323237)
(-74809734.02637541, -4424839.693049573)
(-50467687.56172236, -3109344.476089858)
(-41925013.58171401, -3109290.140173685)
(-32002717.127515383, -2398857.426295894)
(-27175120.74539443, -2398857.426295894)
(-24972928.63633466, -2263549.863873323)
(-24073607.261703383, -2263549.863873323)
(-23734750.41870082, -2263549.863873323)
(-23474631.387292597, -2242217.5952156372)
(-22960503.689798467, -2221360.741245521)
(-22396236.66931726, -2125216.713367178)
(-22170040.874060534, -2114700.376323404)
(-21868587.503859352, -2114538.4674436124)
(-21603749.21326472, -2114403.796730563)
(-21390511.569351636, -2114403.796730563)
(-21139590.131964106, -2097886.1207031915)
(-21128249.16748386, -2097886.1207031915)
(-21050704.79515297, -2054756.1470919852)
(-20999897.321692977, -2054756.1470919852)
(-20951149.34833357, -2054756.1470919852)
(-20918460.273268186, -2054756.1470919852)
(-20918232.20890698, -2054756.1470919852)
(-20901533.563463807, -2054756.1470919852)
(-20884835.59613605, -2054756.1470919852)
(-20850732.7480752, -2054756.1470919852)
(-20818315.731347144, -2054756.1470919852)
(-20732043.8131992, -2054747.7314693143)
(-20679313.421509355, -2054747.7314693143)
(-20605037.082001563, -2054747.7314693143)
(-20559713.326809995, -2054644.3712053527)
(-20547845.391870573, -2054644.3712053527)
(-20547423.489787634, -2054644.3712053527)
(-20547411.20046509, -2054644.3712053527)
(-20547206.156401675, -2054644.3712053527)
(-20547080.62831485, -2054630.6190051571)
(-20546128.859600388, -2054095.3664541552)
(-20544412.73548287, -2053448.1235152576)
(-20542449.966603972, -2053448.1235152576)
(-20542449.966603972, -2053448.1235152576)
(-20541253.988717638, -2053434.6411188245)
(-20537647.183189202, -2052861.0810229024)
(-20534830.0231032, -2052861.0810229024)
(-20533513.813607413, -2052861.0810229024)
(-20533513.813607413, -2052861.0810229024)
(-20532086.279129684, -2052861.0810229024)
(-20532086.279129684, -2052861.0810229024)
(-20532086.279129684, -2052861.0810229024)
(-20531195.011850007, -2052861.0810229024)
(-20529487.009290576, -2052861.0810229024)

