(-3.1061124416153914e+24, -1537406270.701344)
(-7.684438201482359e+17, -1537406270.701344)
(-1890459807066273.8, -1537406270.701344)
(-1007957279594606.6, -746799241.209043)
(-248695338003586.38, -746799241.209043)
(-148368235340233.66, -746799241.209043)
(-147681536441399.5, -746799241.209043)
(-129108872990180.34, -746799241.209043)
(-73592439812119.03, -746799241.209043)
(-73592439812119.03, -746799241.209043)
(-419756020385.6295, -497955109.26825464)
(-18947557754.377262, -62035730.85886082)
(-1379787904.7129943, -62035730.85886082)
(-586373959.0029371, -36005109.113189116)
(-447977175.54746157, -29574496.66902478)
(-343294680.1435592, -20440240.075317055)
(-288894778.87945616, -17533515.074770194)
(-248438677.42874438, -16065803.60324569)
(-213376620.23826236, -13321450.681406137)
(-200185955.29708922, -13321450.681406137)
(-171510588.64619774, -13321450.681406137)
(-160629678.68775487, -13321450.681406137)
(-150676917.31832936, -11587740.487368662)
(-145065116.51056617, -11063673.022893075)
(-136545122.84234154, -11063673.022893075)
(-125702661.83225776, -10475074.002376936)
(-110134181.02453747, -9210490.881250143)
(-110134181.02453747, -9210490.881250143)
(-110134181.02453747, -9210490.881250143)
(-107500679.03866835, -9210490.881250143)
(-105086677.22484219, -9210490.881250143)
(-104389167.75789233, -9210490.881250143)
(-100746549.18241277, -9115602.483010657)
(-98782964.7419356, -9115602.483010657)
(-96413441.138231, -8941818.847720975)
(-96413441.138231, -8941818.847720975)
(-96098238.55167463, -8941818.847720975)
(-94150467.16279955, -8941818.847720975)
(-93673783.74499202, -8941818.847720975)
(-91719309.463245, -8777706.403115083)
(-90974561.8171148, -8777706.403115083)
(-90974561.8171148, -8777706.403115083)
(-90915003.52011098, -8777706.403115083)
(-90400929.55218993, -8777706.403115083)
(-90305133.37024608, -8777706.403115083)
(-90305133.37024608, -8777706.403115083)
(-90305133.37024608, -8777706.403115083)
(-89822758.9409705, -8777706.403115083)
(-89822758.9409705, -8777706.403115083)
(-88816289.06077409, -8295181.736438818)
(-83825344.01979923, -4406928.479791865)
(-79024498.21169144, -4406928.479791865)
(-74867845.21912532, -4406928.479791865)
(-67605561.9206279, -4406928.479791865)
(-67605561.9206279, -4406928.479791865)
(-56103785.85755709, -4406928.479791865)
(-54236384.4817733, -4406928.479791865)
(-49043494.18564871, -4406928.479791865)
(-48129024.75112389, -4406928.479791865)
(-48129024.75112389, -4406928.479791865)
(-48129024.75112389, -4406928.479791865)
(-47749243.0579067, -4406928.479791865)
(-47412378.223208696, -4406928.479791865)
(-47268414.447229855, -4406928.479791865)
(-47024628.42645319, -4406928.479791865)
(-46959793.80157469, -4406928.479791865)
(-46385927.7323989, -4295810.244838129)
(-46385927.7323989, -4295810.244838129)
(-46385927.7323989, -4295810.244838129)
(-45822538.901050895, -4291741.155125941)
(-45045985.12444559, -4291741.155125941)
(-44886131.034523234, -4291741.155125941)
(-44663024.13307505, -4291741.155125941)
(-44440099.39362462, -4291741.155125941)
(-44138834.048394084, -4291741.155125941)
(-43982115.83820561, -4291741.155125941)
(-43892562.40998663, -4291741.155125941)
(-43892562.40998663, -4291741.155125941)
(-43734828.94736315, -4291741.155125941)
(-43695808.73099731, -4291741.155125941)
(-43695808.73099731, -4291741.155125941)
(-43695808.73099731, -4291741.155125941)
(-43561744.719372325, -4291741.155125941)
(-43523946.46204801, -4291741.155125941)
(-43416358.1526112, -4291741.155125941)
(-43348944.90859795, -4291741.155125941)
(-43348944.90859795, -4291741.155125941)
(-43261190.20210638, -4291741.155125941)
(-43218534.095086865, -4291741.155125941)
(-43218534.095086865, -4291741.155125941)
(-43218534.095086865, -4291741.155125941)
(-43218534.095086865, -4291741.155125941)
(-43218534.095086865, -4291741.155125941)
(-43218534.095086865, -4291741.155125941)
(-43128369.07969869, -4290063.688216746)
(-43128369.07969869, -4290063.688216746)
(-43062827.94225987, -4290063.688216746)
(-43062827.94225987, -4290063.688216746)
(-43024571.937001705, -4290063.688216746)
(-43024571.937001705, -4290063.688216746)
(-43024571.937001705, -4290063.688216746)
(-43024571.937001705, -4290063.688216746)
(-43019768.83737458, -4290063.688216746)
(-43019768.83737458, -4290063.688216746)
(-43019768.83737458, -4290063.688216746)
(-43016812.98460561, -4290063.688216746)
(-6.664973244466049e+33, -24358945678284.035)
(-4.062891406278546e+30, -24358945678284.035)
(-2.8167736598567297e+27, -24358945678284.035)
(-1.8754177267446357e+27, -24358945678284.035)
(-2.2062973642857826e+23, -24358945678284.035)
(-7.31701021712096e+20, -24358945678284.035)
(-7.300384482131902e+20, -24358945678284.035)
(-7.300384482131902e+20, -24358945678284.035)
(-5.204463336172606e+20, -24358945678284.035)
(-4.171921049982207e+20, -24358945678284.035)
(-1.0408042848747341e+20, -24358945678284.035)
(-1.62665983888794e+18, -24358945678284.035)
(-8.451240487335612e+17, -24358945678284.035)
(-4.4259327024589977e+33, -37363470466.88214)
(-8.759682508562475e+23, -37363470466.88214)
(-8.736084513863337e+23, -37363470466.88214)
(-4.3693993765941454e+23, -37363470466.88214)
(-1.6995981416234412e+18, -37363470466.88214)
(-4.4551822697036685e+17, -37363470466.88214)
(-5.0428980464500056e+16, -37363470466.88214)
(-714540893721837.0, -37363470466.88214)
(-40064962444.38376, -153961577.7640255)
(-4060518936.4796734, -105239242.3701289)
(-872672662.1519082, -14065216.659173489)
(-457904385.0944698, -14065216.659173489)
(-239529162.20073596, -13380216.818324864)
(-181256176.15736073, -13380216.818324864)
(-155860080.1782406, -9251355.89952313)
(-110874930.55438377, -6059034.653681882)
(-81759258.59681551, -2526950.424285853)
(-68539988.73776221, -2526950.424285853)
(-55739291.59305472, -2526950.424285853)
(-51882076.729808435, -2526950.424285853)
(-46613509.678067945, -2526950.424285853)
(-40325580.09561397, -2526950.424285853)
(-33205250.420474675, -2526950.424285853)
(-28497885.539361373, -2511527.641058225)
(-28099629.11481078, -2511527.641058225)
(-27597775.204157464, -2511527.641058225)
(-26834679.622688785, -2433559.9631444514)
(-26460820.617463533, -2433559.9631444514)
(-25796806.855169907, -2333854.4616681244)
(-25740017.930165213, -2333854.4616681244)
(-25740017.930165213, -2333854.4616681244)
(-25740017.930165213, -2333854.4616681244)
(-25740017.930165213, -2333854.4616681244)
(-25740017.930165213, -2333854.4616681244)
(-25740017.930165213, -2333854.4616681244)
(-25740017.930165213, -2333854.4616681244)
(-25320972.829679966, -2333854.4616681244)
(-25320972.829679966, -2333854.4616681244)
(-25086931.86501939, -2333854.4616681244)
(-25086931.86501939, -2333854.4616681244)
(-24980509.948164847, -2333854.4616681244)
(-24668443.7774654, -2333854.4616681244)
(-24629370.716566656, -2333854.4616681244)
(-24592490.642773725, -2333854.4616681244)
(-24334577.019316465, -2322337.9865579214)
(-24334577.019316465, -2322337.9865579214)
(-24334577.019316465, -2322337.9865579214)
(-24128852.633093398, -2322337.9865579214)
(-24083642.98196541, -2322337.9865579214)
(-23824097.904684395, -2251982.563777206)
(-23824097.904684395, -2251982.563777206)
(-23824097.904684395, -2251982.563777206)
(-23640178.35503855, -2251982.563777206)
(-23640178.35503855, -2251982.563777206)
(-23640178.35503855, -2251982.563777206)
(-23640178.35503855, -2251982.563777206)
(-23382890.272173066, -2224452.690292379)
(-23096300.94776243, -2192614.1300834618)
(-23096300.94776243, -2192614.1300834618)
(-22588658.4410913, -1938832.9469292806)
(-22588658.4410913, -1938832.9469292806)
(-22588658.4410913, -1938832.9469292806)
(-22588658.4410913, -1938832.9469292806)
(-22538446.00124967, -1938832.9469292806)
(-22538446.00124967, -1938832.9469292806)
(-22538446.00124967, -1938832.9469292806)
(-22327110.68102958, -1938832.9469292806)
(-22327110.68102958, -1938832.9469292806)
(-22327110.68102958, -1938832.9469292806)
(-22327110.68102958, -1938832.9469292806)
(-22245115.411229514, -1938832.9469292806)
(-22245115.411229514, -1938832.9469292806)
(-22245115.411229514, -1938832.9469292806)
(-22174435.426633455, -1938832.9469292806)
(-21834057.042098276, -1938832.9469292806)
(-21834057.042098276, -1938832.9469292806)
(-21627236.289318312, -1938832.9469292806)
(-21416527.5769149, -1938832.9469292806)
(-21406939.59566213, -1938832.9469292806)
(-21302767.861357458, -1938832.9469292806)
(-20618260.739222202, -1938832.9469292806)
(-20618260.739222202, -1938832.9469292806)
(-20618260.739222202, -1938832.9469292806)
(-20407083.78601223, -1938832.9469292806)
(-20229658.569355212, -1938832.9469292806)
(-20229658.569355212, -1938832.9469292806)
(-20164637.94375112, -1938832.9469292806)
(-20164637.94375112, -1938832.9469292806)
(-20122275.8025739, -1938832.9469292806)
(-20122275.8025739, -1938832.9469292806)
(-20097943.131927907, -1938832.9469292806)
(-20097943.131927907, -1938832.9469292806)
(-19990935.237265363, -1938832.9469292806)
