(-7.795211580702108e+32, -3483557.680715453)
(-8335198878.541538, -3474200.0463870876)
(-1131078389.162378, -3452039.389245145)
(-288141649.82678926, -3452039.389245145)
(-142924849.99488476, -3409297.955485186)
(-141197782.1963799, -3362452.7848200663)
(-140529075.09664583, -3362452.7848200663)
(-139381183.76862893, -3362452.7848200663)
(-138762216.12801337, -3343399.438509443)
(-137619720.58080417, -3304178.5354349823)
(-136394948.80150092, -3281896.311258656)
(-135636078.3299518, -3281896.311258656)
(-133950403.65835841, -3103963.949998023)
(-132400479.99679068, -2888933.2545654643)
(-131144491.60504222, -2888933.2545654643)
(-130613824.98302865, -2888933.2545654643)
(-127818179.72472912, -2883337.566407937)
(-125238564.8060606, -2867524.042840403)
(-122292466.95902036, -2818260.490276997)
(-118747696.45451798, -2758031.8042794885)
(-115906141.52793366, -2758031.8042794885)
(-114369832.67044611, -2758031.8042794885)
(-113546799.14591205, -2758031.8042794885)
(-112967560.017915, -2758031.8042794885)
(-112319646.86213219, -2754588.1504213354)
(-111421778.03172758, -2750732.9341031364)
(-111013107.64696373, -2750732.9341031364)
(-110688146.55157252, -2750099.6607277663)
(-110533784.4598176, -2750099.6607277663)
(-110345537.69664948, -2748953.940971801)
(-110241570.26159379, -2748953.940971801)
(-110162378.75088684, -2748182.069809786)
(-110126976.50834876, -2748182.069809786)
